cuisine,location,name,price,ratings,tags
South Indian, 1004| 26th Main| 4th T Block| Beside HDFC Bank| Jayanagar| Bangalore,Taaza Thindi,100.0,4.9,Quick Bites
South Indian, Ranga Rao Road| Near Shankar Mutt| Shankarapura| Near Basavanagudi| Bangalore,Brahmin's Coffee Bar,100.0,4.9,Quick Bites
"Bakery,Desserts", 12th Main| 2nd Block| Rajajinagar| Bangalore,O.G. Variar & Sons,200.0,4.9,Bakery
Italian, 960| 12th Main| HAL 2nd Stage| Indiranagar| Bangalore,Chianti,2000.0,4.9,Casual Dining
Desserts, 2nd Floor|  Phoenix Market City| Whitefield| Bangalore,BelgYum,400.0,4.9,Dessert Parlor
"American,Continental,Fast Food", 4 & 16| St. Marks Road| Bangalore,Hard Rock Cafe,2500.0,4.8,"Pub,Casual Dining"
"North Indian,BBQ", 100 Feet Road| 1st Phase| Near Jayadeva Flyover| 2nd Stage| BTM| Bangalore,AB's - Absolute Barbecues,1250.0,4.8,Casual Dining
"Continental,North Indian,Chinese,Finger Food,Asian", 4th B Cross| Koramangala 5th Block| Bangalore,Biergarten,2600.0,4.8,Microbrewery
South Indian, 13| AB Square|14th Main| Sector 5| HSR| Bangalore,Arogya Ahaara,100.0,4.8,Quick Bites
Paan, 1/1| Chakravarthy Iyengar Layout| 2nd Main| Kumara Park West| Seshadripuram| Bangalore,The Betel Leaf Co,300.0,4.8,Paan Shop
"Asian,Burmese,Bubble Tea,Salad,Tea,Desserts,Ice Cream,Beverages", 607| Ground Floor| 12th Main| Hal 2nd Stage| Indiranagar| Bangalore,Burma Burma,1500.0,"4.9,4.4",Casual Dining
"Desserts,Ice Cream", 460| 2nd Cross| Krishna Temple Road| Indiranagar| Bangalore,Milano Ice Cream,400.0,"4.9,4.4",Dessert Parlor
"North Indian,Mughlai,Desserts,Beverages,Biryani,BBQ", 86| 1st Cross| Koramangala 1st Block| Bangalore,Barbeque Nation,1600.0,4.7,Casual Dining
South Indian, 14| Lalbagh Road| Mavalli| Basavanagudi| Bangalore,Mavalli Tiffin Room (MTR),250.0,4.7,Quick Bites
"Continental,BBQ", 67 & 68| Brigade Solitaire| Opposite Advaith Hyundai| Residency Road| Bangalore,Communiti,1500.0,4.7,Microbrewery
"Chinese,Asian,Cantonese,Tea", Level 5| 1 MG Lido Mall| MG Road| Bangalore,Yauatcha,2000.0,4.7,Fine Dining
"Asian,Mediterranean,Italian,European,Desserts,Beverages", 151| 2nd Cross| 2nd Stage| Domlur| Bangalore,Santé Spa Cuisine,1800.0,4.7,Casual Dining
"Ice Cream,Desserts", 3283| 2nd Stage| Off Double Road| Indiranagar| Bangalore,Corner House Ice Cream,350.0,"4.9,4.5",Dessert Parlor
"Cafe,American,Burger", 28| MCH Society| Sector 4| HSR| Bangalore,Here & Now,900.0,4.7,"Casual Dining,Café"
"Ice Cream,Desserts", 1021| 80 Feet Main Road| Koramangala 1st Block| Bangalore,Natural Ice Cream,200.0,"4.8,4.5",Dessert Parlor
"Spanish,Italian,Mediterranean,European,Salad", 203| 2nd Floor| UB City| 24 Vittal Mallya Road| Lavelle Road| Bangalore,Caperberry,2200.0,4.7,Fine Dining
"Beverages,Ice Cream", Shop 62| 1st A Cross| SSB Towers| Opposite Nilgirs Vignan Nagar Main Road| New Tippasnadra| Kaggadasapura| Bangalore,Breezy Cow Bar,400.0,4.7,Beverage Shop
"Juices,Healthy Food", 319/1| Ground Floor| 10th Cross| Near Kethan PG| Bellandur| Bangalore,No Sugar Please!,300.0,4.7,Beverage Shop
South Indian, 7th Cross| Margosa Road| Malleshwaram| Bangalore,CTR Shri Sagar,150.0,"4.9,4.3",Quick Bites
"Cafe,Continental,Beverages", 263| Domlur| 2nd Stage| Indiranagar| Bangalore,Lavonne,800.0,4.6,"Café,Dessert Parlor"
"Modern Indian,North Indian,Italian,Continental", 19/3| Kumara Krupa Road| Race Course Road| Bangalore,The London Curry House - The Royale Senate Hotel,1700.0,4.6,Casual Dining
"North Indian,Continental,Italian", JW Marriott| 24/1| Vittal Mallya Road| Lavelle Road| Bangalore,JW Kitchen - JW Marriott Bengaluru,2200.0,4.6,Fine Dining
"Mediterranean,Continental,Italian", 115| 3rd Floor| Opposite Raheja Arcade| Koramangala 7th Block| Bangalore,Fenny's Lounge And Kitchen,1600.0,4.6,"Bar,Casual Dining"
"Salad,Healthy Food", Delivery Only,Fit Feast,300.0,4.6,
"Pizza,Fast Food", Site 12/1| New Thippasandra Main Road| PID 74-59-12/1| Srinidhi Landmark| Ward 74| Thippasandra| Bangalore,Domino's Pizza,400.0,4.6,Quick Bites
South Indian, Opposite Manipal North Side Hospital| Near Malleshwaram Railway Station| Malleshwaram| Bangalore,Sri Raghavendra Stores,100.0,4.6,Quick Bites
"Bar Food,Asian,Italian,North Indian,Fast Food,European", 24th Main| 7th Phase| Opposite Brigade Palm Springs| JP Nagar| Bangalore,Brahma Brews,1900.0,4.6,Microbrewery
"American,Continental,Steak", 46| Millers Road| Vasanth Nagar| Bangalore,Millers 46,1100.0,4.6,Casual Dining
"Korean,Chinese,Japanese", 20| Pauls Castle| Castle Street| Ashok Nagar| Brigade Road| Bangalore,Hae Kum Gang,1100.0,4.6,Casual Dining
"Salad,Mangalorean", 331| 5B| EPIP Zone| Near L&T Infotech| Whitefield| Bangalore,Oota Bangalore,1500.0,4.6,Casual Dining
"Ice Cream,Desserts", Delivery Only,Omm Nom Nomm,500.0,4.6,Dessert Parlor
South Indian, 33| 12th Cross| 24th Main| Near Bank Of Baroda| 2nd Phase| JP Nagar| Bangalore,S N Refreshments,100.0,4.6,Quick Bites
"Mediterranean,European,Salad,Italian", 16| Wood Street| Ashok Nagar| Richmond Road| Bangalore,Olive Bar And Kitchen,1800.0,4.6,Casual Dining
"Beverages,Desserts,Ice Cream", 5| 1st A Main Road| A Sector| New Town| Yelahanka| Bangalore,Frozen Bottle,500.0,4.6,Beverage Shop
"Bakery,Fast Food,Desserts,North Indian", Shop 2| 34| 5th Cross| 60 Feet Main Road| Koramangala 5th Block| Bangalore,Karachi Bakery,400.0,4.6,Bakery
"Biryani,Andhra,North Indian,Seafood", 57/1| 1st Floor| Jayalaxmi Chambers| Near Old Galaxy Theatre| Residency Road| Bangalore,Meghana Foods,600.0,"4.5,4.4",Casual Dining
South Indian, 32| Gandhi Bazaar| Near Gandhi Bazaar Circle| Basavanagudi| Bangalore,Vidyarthi Bhavan,150.0,4.5,Quick Bites
"Beverages,Ice Cream,Desserts,Fast Food,North Indian,Sandwich,Street Food", Shop 2| Site 40| Khatha 115/1| Hoodi Main Road| Surya Layout| Ayyappa Nagar| B.B.M.P East| KR Puram| Bangalore,Lassi Corner,300.0,4.5,"Beverage Shop,Dessert Parlor"
"Andhra,Biryani", 44/1| Residency Road| Bangalore,Nagarjuna,800.0,4.5,Casual Dining
"Japanese,Sushi,Asian,Chinese,Momos", 610| 3rd Floor| 12th Main| Off 80 Feet Road| Indiranagar| Bangalore,The Fatty Bao - Asian Gastro Bar,1200.0,"4.8,4.2","Casual Dining,Bar"
"Bar Food,Mughlai,Healthy Food,Fast Food,North Indian,Beverages", UB City| 24| Grant Road| Vittal Malya| Lavelle Road| Bangalore,Farzi Cafe,1600.0,4.5,Casual Dining
"Continental,Finger Food", 607| 15th Cross| Outer Ring Road| 1st Phase| JP Nagar| Bangalore,The Pump House,2000.0,4.5,Microbrewery
"Continental,North Indian,Chinese,Pizza,Finger Food", 8| Industrial Layout| Near HDFC Bank| Koramangala 5th Block| Bangalore,XOOX Brewmill,2000.0,4.5,Microbrewery
"North Indian,Continental", Renaissance Hotel| 17 & 17/1| Madhavanagar Extension| Race Course Lane| Race Course Road| Bangalore,"Lush - Renaissance Hotel, Bengaluru",2500.0,4.5,Casual Dining
"Andhra,North Indian", OSR Hotels| 60 Feet Road| Near BEML Bus Depot| Rajarajeshwari Nagar| Bangalore,Royal Andhra Spice,650.0,4.5,Casual Dining
Chinese, 53/1| 5th Cross| Koramangala 6th Block| Bangalore,China Pearl,1100.0,"4.5,4.5",Casual Dining
"Ice Cream,Desserts,Beverages", 44/1| Residency Road| Bangalore,Art of Delight,400.0,"4.6,4.4",Dessert Parlor
Bakery, Delivery Only,Cakewala,200.0,4.5,Bakery
"Asian,Indonesian,Momos,Japanese,Sushi", 974| 80 Feet Road| Koramangala 4th Block| Bangalore,Nasi And Mee,1000.0,"4.6,4.4",Casual Dining
